category,vals
"[Books, Cookbooks, Food & Wine, Beverages & Wine]",1649
"[Books, Science & Math, Behavioral Sciences]",1614
"[Books, Health, Fitness & Dieting, Addiction & Recovery]",1608
"[Books, Parenting & Relationships]",1537
"[Books, Health, Fitness & Dieting, Women's Health]",1537
"[Books, Children's Books, Early Learning]",1458
"[Books, Business & Money, Small Business & Entrepreneurship]",1442
"[Books, History, Australia & Oceania]",1436
"[Books, Travel, Europe]",1435
"[Books, History, Ancient Civilizations]",1431
"[Books, Teen & Young Adult, Mysteries & Thrillers]",1427
"[Books, Politics & Social Sciences, Sociology]",1415
"[Books, Parenting & Relationships, Parenting]",1411
"[Books, Humor & Entertainment, Pop Culture]",1397
"[Books, Christian Books & Bibles, Catholicism]",1341
"[Books, Computers & Technology, Hardware & DIY]",1243
"[Books, Religion & Spirituality]",1240
"[Books, Arts & Photography, Architecture]",1215
"[Books, Cookbooks, Food & Wine, Baking]",1208
"[Books, Religion & Spirituality, Worship & Devotion]",1200
"[Books, Self-Help, Creativity]",1181
"[Books, Teen & Young Adult, Historical Fiction]",1177
"[Books, Humor & Entertainment, Radio]",1095
"[Books, Reference]",1087
"[Books, Science & Math, Chemistry]",1074
"[Books, Business & Money]",1008
"[Books, Sports & Outdoors, Individual Sports]",969
"[Books, Travel, United States, Northeast, New England]",962
"[Books, Christian Books & Bibles]",949
"[Books, Christian Books & Bibles, Protestantism]",942
"[Books, Travel, United States]",901
"[Books, Business & Money, Processes & Infrastructure]",873
"[Books, Religion & Spirituality, Judaism]",869
"[Books, Humor & Entertainment, Television]",848
"[Books, Business & Money, Accounting]",838
"[Books, History, Africa]",802
"[Books, Religion & Spirituality, Other Religions, Practices & Sacred Texts]",777
"[Books, Science & Math]",768
"[Books, Christian Books & Bibles, Churches & Church Leadership]",757
"[Books, Sports & Outdoors, Miscellaneous]",742
"[Books, Computers & Technology, Graphics & Design]",709
"[Books, Medical Books, Basic Sciences]",698
"[Books, Crafts, Hobbies & Home, Gardening & Landscape Design]",694
"[Books, Sports & Outdoors, Hiking & Camping]",687
"[Books, Reference, Encyclopedias & Subject Guides]",678
"[Books, History, Middle East]",656
"[Books, New, Used & Rental Textbooks, Computer Science]",640
"[Books, Engineering & Transportation, Automotive]",620
"[Books, Self-Help, Success]",619
"[Books, Arts & Photography, Drawing]",618
"[Books, Politics & Social Sciences, Anthropology]",610
"[Books, Children's Books, Humor]",590
"[Books, Self-Help, New Age]",567
"[Books, Children's Books, Cars, Trains & Things That Go]",564
"[Books, History, Historical Study & Educational Resources]",534
"[Books, Cookbooks, Food & Wine, Cooking Methods]",523
"[Books, Computers & Technology, Web Development & Design]",522
"[Books, Computers & Technology, Software]",521
"[Books, Computers & Technology, Certification]",508
"[Books, New, Used & Rental Textbooks, Education]",501
"[Books, Health, Fitness & Dieting, Beauty, Grooming, & Style]",500
"[Books, Biographies & Memoirs, Reference & Collections]",494
"[Books, Business & Money, Human Resources]",476
"[Books, Children's Books, Biographies]",471
"[Books, Biographies & Memoirs, Travelers & Explorers]",459
"[Books, Travel, Canada]",448
"[Books, Reference, Atlases & Maps]",446
"[Books, Science & Math, Evolution]",443
"[Books, Health, Fitness & Dieting, Safety & First Aid]",441
"[Books, Cookbooks, Food & Wine, Kitchen Appliances]",433
"[Books, Sports & Outdoors, Mountaineering]",405
"[Books, Health, Fitness & Dieting, Sexual Health]",398
"[Books, Computers & Technology, Operating Systems]",395
"[Books, Business & Money, Real Estate]",390
"[Books, Teen & Young Adult, Romance]",379
"[Books, Test Preparation, Graduate School]",378
"[Books, Romance]",377
"[Books, Christian Books & Bibles, Worship & Devotion]",377
"[Books, Science & Math, History & Philosophy]",375
"[Books, Health, Fitness & Dieting, Nutrition]",373
"[Books, Arts & Photography, Individual Artists]",372
"[Books, Cookbooks, Food & Wine, Quick & Easy]",368
"[Books, Comics & Graphic Novels]",356
"[Books, Christian Books & Bibles, Ministry & Evangelism]",355
"[Books, Crafts, Hobbies & Home, Antiques & Collectibles]",355
"[Books, Computers & Technology, Databases & Big Data]",348
"[Books, Children's Books, Mysteries & Detectives]",339
"[Books, Romance, Romantic Suspense]",337
"[Books, Cookbooks, Food & Wine, Vegetarian & Vegan]",331
"[Books, Christian Books & Bibles, History]",331
"[Books, Christian Books & Bibles, Christian Denominations & Sects]",328
"[Books, Teen & Young Adult, Biographies]",308
"[Books, Test Preparation, College & High School]",296
"[Books, Religion & Spirituality, Literature & Fiction]",289
"[Books, Self-Help, Spiritual]",286
"[Books, Religion & Spirituality, Islam]",282
"[Books, Religion & Spirituality, Hinduism]",275
"[Books, Cookbooks, Food & Wine, Outdoor Cooking]",269
"[Books, Science & Math, Agricultural Sciences]",262
"[Books, Sports & Outdoors, Baseball]",256
"[Books, Reference, Etiquette]",249
"[Books, Sports & Outdoors, Racket Sports]",246
"[Books, Health, Fitness & Dieting]",245
"[Books, Computers & Technology, Business Technology]",231
"[Books, Law, Business]",230
"[Books, Law, Criminal Law]",226
"[Books, History, Russia]",222
"[Books, Arts & Photography, Painting]",212
"[Books, Reference, English as a Second Language]",195
"[Books, Children's Books, Sports & Outdoors]",191
"[Books, Arts & Photography, Other Media]",183
"[Books, Sports & Outdoors]",183
"[Books, Comics & Graphic Novels, Manga]",179
"[Books, Travel, Specialty Travel]",176
"[Books, Self-Help, Self-Esteem]",174
"[Books, Travel, Africa]",172
"[Books, Cookbooks, Food & Wine, Main Courses & Side Dishes]",172
"[Books, Sports & Outdoors, Outdoor Recreation]",171
"[Books, Travel, Travel Writing]",166
"[Books, Science & Math, Technology]",165
"[Books, Sports & Outdoors, Golf]",159
"[Books, Arts & Photography, Decorative Arts & Design]",155
"[Books, Law, Law Practice]",154
"[Books, Romance, Regency]",154
"[Books, Business & Money, International]",149
"[Books, Teen & Young Adult, Social Issues]",141
"[Books, Cookbooks, Food & Wine]",132
"[Books, Religion & Spirituality, Other Eastern Religions & Sacred Texts]",128
"[Books, Science & Math, Research]",124
"[Books, Children's Books, Children's Cookbooks]",110
"[Books, Business & Money, Taxation]",110
"[Books, Law, Legal Theory & Systems]",105
"[Books, Travel, Reference]",103
"[Books, Comics & Graphic Novels, How To Create Comics & Manga]",98
"[Books, Computers & Technology, Internet & Social Media]",95
"[Books, Sports & Outdoors, Hunting & Fishing]",94
"[Books, Teen & Young Adult, Art, Music & Photography]",94
"[Books, Travel]",91
"[Books, Cookbooks, Food & Wine, Desserts]",90
"[Books, Health, Fitness & Dieting, Sports Health & Safety]",89
"[Books, Children's Books, Religions]",81
"[Books, Cookbooks, Food & Wine, Entertaining & Holidays]",79
"[Books, Reference, Quotations]",78
"[Books, Law, Intellectual Property]",75
"[Books, Self-Help, Stress Management]",74
"[Books, Health, Fitness & Dieting, Children's Health]",73
"[Books, Science Fiction & Fantasy]",73
"[Books, Sports & Outdoors, Football (American)]",72
"[Books, Sports & Outdoors, Coaching]",71
"[Books, Law, Rules & Procedures]",71
"[Books, Romance, Romantic Comedy]",66
"[Books, Health, Fitness & Dieting, Aging]",61
"[Books, Education & Teaching, Higher & Continuing Education]",60
"[Books, Parenting & Relationships, Aging Parents]",60
"[Books, Medical Books, Nursing]",60
"[Books, Education & Teaching, Studying & Workbooks]",58
"[Books, Travel, Middle East]",56
"[Books, Politics & Social Sciences, Women's Studies]",55
"[Books, Children's Books, Comics & Graphic Novels]",55
"[Books, Law, Legal Education]",55
"[Books, Literature & Fiction, Ancient & Medieval Literature]",53
"[Books, Arts & Photography]",53
"[Books, New, Used & Rental Textbooks, Law]",52
"[Books, Self-Help, Memory Improvement]",49
"[Books, Sports & Outdoors, Basketball]",48
"[Books, Science & Math, Environment]",45
"[Books, Comics & Graphic Novels, Comic Strips]",44
"[Books, Crafts, Hobbies & Home, Weddings]",44
"[Books, Self-Help, Anxieties & Phobias]",41
"[Books, Reference, Genealogy]",40
"[Books, Business & Money, Insurance]",40
"[Books, Computers & Technology, Mobile Phones, Tablets & E-Readers]",38
"[Books, Medical Books, Administration & Medicine Economics]",37
"[Books, Computers & Technology, History & Culture]",37
"[Books, Test Preparation, Professional]",36
"[Books, New, Used & Rental Textbooks, Test Prep & Study Guides]",35
"[Books, Humor & Entertainment, Trivia & Fun Facts]",34
"[Books, Religion & Spirituality, Atheism]",33
"[Books, Travel, Pictorial]",32
"[Books, Science & Math, Essays & Commentary]",31
"[Books, Law, Specialties]",30
"[Books, Teen & Young Adult, Personal Health]",30
"[Books, Travel, Australia & South Pacific]",26
"[Books, Health, Fitness & Dieting, Reference]",26
"[Books, Law, Administrative Law]",26
"[Books, Travel, Caribbean]",23
"[Books, Law, Philosophy]",23
"[Books, Humor & Entertainment]",23
"[Books, Comics & Graphic Novels, Publishers]",23
"[Books, Computers & Technology, Games & Strategy Guides]",22
"[Books, Sports & Outdoors, Extreme Sports]",21
"[Books, Medical Books]",21
"[Books, Computers & Technology, Digital Audio, Video & Photography]",20
"[Books, Arts & Photography, Study & Teaching]",20
"[Books, Cookbooks, Food & Wine, Celebrities & TV Shows]",20
"[Books, Crafts, Hobbies & Home]",17
"[Books, Reference, Consumer Guides]",17
"[Books, Sports & Outdoors, Winter Sports]",17
"[Books, Sports & Outdoors, Other Team Sports]",16
"[Books, Medical Books, Pharmacology]",16
"[Books, Parenting & Relationships, Family Health]",15
"[Books, Lesbian, Gay, Bisexual & Transgender Books, Biographies & Memoirs]",15
"[Books, Arts & Photography, Collections, Catalogs & Exhibitions]",13
"[Books, Law, Foreign & International Law]",13
"[Books, Law, Family Law]",13
"[Books, Parenting & Relationships, Special Needs]",12
"[Books, Self-Help, Dreams]",12
"[Books, Romance, Anthologies]",11
"[Books, Travel, Central America]",10
"[Books, Law, Tax Law]",10
"[Books, Calendars, Children's]",9
"[Books, Self-Help, Eating Disorders]",9
"[Books, Arts & Photography, Fashion]",9
"[Books, Travel, South America]",8
"[Books, Biographies & Memoirs, Regional Canada]",7
"[Books, Law, Constitutional Law]",7
"[Books, Travel, Mexico]",6
"[Books, Law, Environmental & Natural Resources Law]",6
"[Books, Medical Books, Allied Health Professions]",6
"[Books, Sports & Outdoors, Hockey]",6
"[Books, Sports & Outdoors, Soccer]",6
"[Books, Self-Help, Sex]",5
"[Books, Teen & Young Adult, Religion & Spirituality]",4
"[Books, Travel, Polar Regions]",3
"[Books, Computers & Technology]",3
"[Books, Travel, Food, Lodging & Transportation]",3
"[Books, Business & Money, Women & Business]",2
"[Books, Religion & Spirituality, Agnosticism]",2
"[Books, Science & Math, Experiments, Instruments & Measurement]",2
"[Books, Parenting & Relationships, Adoption]",1
"[Books, New, Used & Rental Textbooks, Communication & Journalism]",1
"[Books, Self-Help, Emotions]",1
"[Books, Lesbian, Gay, Bisexual & Transgender Books, Science Fiction & Fantasy]",1
"[Books, Health, Fitness & Dieting, Teen Health]",1
