title,vals,rating
"The Mind-Gut Connection: How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health",43,4.4186046511627906
The Clear Skin Prescription: The Perricone Program to Eliminate Problem Skin,12,4.416666666666667
Psychology and Life (MyPsychLab Series),12,4.416666666666667
Abnormal Psychology (3rd Edition),29,4.413793103448276
The Emperor Of Scent,80,4.4125
The HeartMath Solution; The Heartmath Institute's Revolutionary Program for Engaging the Power of the Heart's Intelligence,90,4.411111111111111
Don't Eat This Book,39,4.410256410256411
"Genes, Chromosomes, and Disease: From Simple Traits, to Complex Traits, to Personalized Medicine (FT Press Science)",10,4.4
Medical Language for Modern Health Care,5,4.4
"Embalming: History, Theory, and Practice, Fifth Edition",5,4.4
"Crisis Intervention Handbook: Assessment, Treatment, and Research",5,4.4
Viruses: A Very Short Introduction,5,4.4
The Checklist Manifesto: How To Get Things Right,641,4.399375975039002
Study Guide for Foundations of Behavioral Neuroscience,26,4.384615384615385
Psychology and Work Today (9th Edition),8,4.375
Clean Gut: The Breakthrough Plan for Eliminating the Root Cause of Disease and Revolutionizing Your Health,235,4.370212765957447
"Development Through the Lifespan, Third Edition",76,4.368421052631579
Inorganic Chemistry (2nd Edition),14,4.357142857142857
Chemistry: A Molecular Approach,147,4.35374149659864
Foundations in Microbiology: Basic Principles.,51,4.333333333333333
"To Siri with Love: A Mother, Her Autistic Son, and the Kindness of Machines",39,4.333333333333333
"Medical Terminology: A Word-Building Approach, 7th Edition",18,4.333333333333333
"McGraw-Hill's Spanish for Healthcare Providers, Second Edition (McGraw-Hill's Spanish for Healthcare Providers (W/CDs))",15,4.333333333333333
"McGraw-Hill's Complete Medical Spanish, Second Edition",15,4.333333333333333
Internal Medicine Correlations and Clinical Scenarios (CCS) USMLE Step 3 (Correlations &amp; Clinical Scenarios for the USMLE Step 3),6,4.333333333333333
"Cognition, Brain, and Consciousness: Introduction to Cognitive Neuroscience",6,4.333333333333333
Antibiotic Resistance: Understanding and Responding to an Emerging Crisis (FT Press Science),6,4.333333333333333
The Medical Malpractice Myth,6,4.333333333333333
"Deja Review Neuroscience, Second Edition",3,4.333333333333333
"First Aid for the Wards, Fifth Edition (First Aid Series)",3,4.333333333333333
Getting Rid of Gout,3,4.333333333333333
Foundations of Physiological Psychology,3,4.333333333333333
Crucible of Struggle: A History of Mexican Americans from the Colonial Period to the Present Era (AAR Aids for the Study of Religion Series),3,4.333333333333333
The Painful Truth: What Chronic Pain Is Really Like and Why It Matters to Each of Us,28,4.321428571428571
Theories of Personality: Understanding Persons (5th Edition),19,4.315789473684211
Medical Language: Immerse Yourself,16,4.3125
How To Think Straight About Psychology (8th Edition),23,4.304347826086956
The Psychology Major: Career Options and Strategies for Success (3rd Edition),10,4.3
A Brief Tour of Human Consciousness: From Impostor Poodles to Purple Numbers,34,4.294117647058823
"Symptom to Diagnosis: An Evidence Based Guide, Second Edition (LANGE Clinical Medicine)",17,4.294117647058823
"McGraw-Hill Education 5 TEAS Practice Tests, 2nd Edition (Mcgraw Hill's 5 Teas Practice Tests)",35,4.285714285714286
The Psychologist as Detective: An Introduction to Conducting Research in Psychology (4th Edition),14,4.285714285714286
The Secret Life of the Grown-up Brain: The Surprising Talents of the Middle-Aged Mind,46,4.282608695652174
Proust and the Squid: The Story and Science of the Reading Brain,67,4.268656716417911
Exploring Research,15,4.266666666666667
Who's in Charge?: Free Will and the Science of the Brain,72,4.263888888888889
"Saving Normal: An Insider's Revolt Against Out-of-Control Psychiatric Diagnosis, DSM-5, Big Pharma, and the Medicalization of Ordinary Life",76,4.2631578947368425
"Identity Crisis: The Murder, the Mystery, and the Missing DNA",88,4.25
AWOL: The Unexcused Absence of America's Upper Classes from Military Service - and How It Hurts Our Country,20,4.25
Forensic Science: From the Crime Scene to the Crime Lab (2nd Edition),8,4.25
First Aid for the USMLE Step 1: 2007,4,4.25
CURRENT Practice Guidelines in Primary Care 2015,4,4.25
Cognition: The Thinking Animal (3rd Edition),4,4.25
The Great Influenza: The Story of the Deadliest Pandemic in History,376,4.247340425531915
Last Night in the OR: A Transplant Surgeon's Odyssey,33,4.242424242424242
"3,000 Solved Problems in Chemistry (Schaum's Solved Problems) (Schaum's Solved Problems Series)",9,4.222222222222222
"Sleeping Through the Night, Revised Edition: How Infants, Toddlers, and Their Parents Can Get a Good Night's Sleep",46,4.217391304347826
Organic Chemistry (5th Edition),75,4.213333333333333
Synaptic Self: How Our Brains Become Who We Are,33,4.212121212121212
A Nation in Pain: Healing our Biggest Health Problem,20,4.2
The Intern Blues: The Timeless Classic About the Making of a Doctor,15,4.2
Theories of Counseling and Psychotherapy: A Case Approach,15,4.2
Basic Flight Physiology,5,4.2
"First Aid for the Family Medicine Boards, Second Edition (First Aid Specialty Boards)",5,4.2
Clinical Laboratory Hematology,5,4.2
Basic Arrhythmias (6th Edition),5,4.2
Helping Children with Autism Learn: Treatment Approaches for Parents and Professionals,5,4.2
"Music, Language, and the Brain",5,4.2
Tales from Both Sides of the Brain: A Life in Neuroscience,26,4.1923076923076925
The Fundamental Wisdom of the Middle Way: Ngrjuna's Mlamadhyamakakrik,21,4.190476190476191
"Case Files Internal Medicine, Fourth Edition (LANGE Case Files)",11,4.181818181818182
The Ghost in My Brain: How a Concussion Stole My Life and How the New Science of Brain Plasticity Helped Me Get It Back,61,4.180327868852459
Pictures of the Mind: What the New Neuroscience Tells Us About Who We Are (FT Press Science),52,4.173076923076923
Abnormal Psychology in a Changing World,6,4.166666666666667
"The Number Sense: How the Mind Creates Mathematics, Revised and Updated Edition",6,4.166666666666667
"The Great Mortality: An Intimate History of the Black Death, the Most Devastating Plague of All Time",135,4.155555555555556
"Case Files Neurology, Second Edition (LANGE Case Files)",9,4.111111111111111
The Brain: A Very Short Introduction,12,4.083333333333333
Brain Wars: The Scientific Battle Over the Existence of the Mind and the Proof that Will Change the Way We Live Our Lives,25,4.08
"Viruses, Plagues, and History: Past, Present and Future",14,4.071428571428571
"The Ultimate Guide to Getting Into Physician Assistant School, Third Edition",16,4.0625
"Touch: The Science of the Hand, Heart, and Mind",18,4.055555555555555
The Book of Woe: The DSM and the Unmaking of Psychiatry,45,4.0
Inorganic Chemistry (3rd Edition),28,4.0
Physical Science,23,4.0
Mind: A Brief Introduction (Fundamentals of Philosophy Series),18,4.0
Dead Center: Behind the Scenes at the World's Largest Medical Examiner's Office,16,4.0
"Beautiful Skin of Color: A Comprehensive Guide to Asian, Olive, and Dark Skin",4,4.0
Trim Kids: The Proven 12-Week Plan That Has Helped Thousands of Children Achieve a Healthier Weight,4,4.0
Drug Guide for Paramedics,3,4.0
"Sherris Medical Microbiology, Fifth Edition",2,4.0
"Cardiovascular Physiology, Seventh Edition (LANGE Physiology Series)",2,4.0
How to Build a Brain: A Neural Architecture for Biological Cognition (Oxford Series on Cognitive Models and Architectures),2,4.0
They Say You're Crazy: How The World's Most Powerful Psychiatrists Decide Who's Normal,2,4.0
In the Theater of Consciousness: The Workspace of the Mind,2,4.0
Electronic Health Records for Allied Health Careers w/Student CD-ROM,1,4.0
Fast and Easy ECGs: A Self-Paced Learning Program,1,4.0
"The Ultimate Guide to Choosing a Medical Specialty, Third Edition",1,4.0
The No-Cry Nap Solution: Guaranteed Gentle Ways to Solve All Your Naptime Problems,40,3.975
The Hormone Reset Diet: Heal Your Metabolism to Lose Up to 15 Pounds in 21 Days,201,3.9651741293532337
"First Aid for the USMLE Step 2 CK, Eighth Edition (First Aid for the USMLE Step 2: Clinical Knowledge)",52,3.923076923076923
"CURRENT Medical Diagnosis and Treatment 2012, Fifty-First Edition (LANGE CURRENT Series)",13,3.923076923076923
Human Diseases: A Systemic Approach (7th Edition),13,3.923076923076923
Harrison's Principles of Internal Medicine 19/E (Vol.1 &amp; Vol.2),34,3.911764705882353
Unlocking Medical Terminology (2nd Edition),11,3.909090909090909
Your Brain and Business: The Neuroscience of Great Leaders,19,3.8947368421052633
Grow Young with HGH: The Amazing Medically Proven Plan to Reverse Aging,28,3.892857142857143
"First Aid for the USMLE Step 2 CK, Seventh Edition (First Aid USMLE)",14,3.857142857142857
"Clinician's Pocket Drug Reference, 2011",7,3.857142857142857
Fundamentals of Forensic Science,7,3.857142857142857
The New Basics: A-to-Z Baby &amp; Child Care for the Modern Parent,33,3.8484848484848486
Black Death,30,3.8333333333333335
Chemistry,6,3.8333333333333335
Erasing Death: The Science That Is Rewriting the Boundaries Between Life and Death,88,3.8181818181818183
"Descartes' Error: Emotion, Reason, and the Human Brain",60,3.816666666666667
The Lonely Patient: How We Experience Illness,5,3.8
"Conversations on Consciousness: What the Best Minds Think about the Brain, Free Will, and What It Means to Be Human",5,3.8
Anti-Oedipus: Capitalism and Schizophrenia (Penguin Classics),19,3.789473684210526
"Internship, Practicum, and Field Placement Handbook: A Guide for the Helping Professions (5th Edition)",28,3.7857142857142856
Rabid: A Cultural History of the World's Most Diabolical Virus,119,3.7815126050420167
We Now Know: Rethinking Cold War History (Council on Foreign Relations Book),17,3.764705882352941
"Molecular Neuropharmacology: A Foundation for Clinical Neuroscience, Second Edition",4,3.75
Foundations of Parasitology,4,3.75
"The Compatibility Gene: How Our Bodies Fight Disease, Attract Others, and Define Our Selves",4,3.75
"Family Medicine PreTest Self-Assessment And Review, Third Edition",11,3.727272727272727
The Ethical Brain: The Science of Our Moral Dilemmas,21,3.7142857142857144
First Aid for the USMLE Step 1 2012 (First Aid USMLE),42,3.6904761904761907
"Germs, Genes, &amp; Civilization: How Epidemics Shaped Who We Are Today",64,3.671875
The Acne Prescription: The Perricone Program for Clear and Healthy Skin at Every Age,6,3.6666666666666665
Organic Chemistry Demystified,3,3.6666666666666665
"First Aid Q&amp;A for the USMLE Step 1, Second Edition (First Aid USMLE)",3,3.6666666666666665
CURRENT Practice Guidelines in Primary Care 2012 (LANGE CURRENT Series),3,3.6666666666666665
Laboratory Tests and Diagnostic Procedures with Nursing Diagnoses (7th Edition),3,3.6666666666666665
Flawed Convictions: &quot;Shaken Baby Syndrome&quot; and the Inertia of Injustice,3,3.6666666666666665
Altered Egos: How the Brain Creates the Self,3,3.6666666666666665
The Perricone Prescription: A Physician's 28-Day Program for Total Body and Face Rejuvenation,65,3.6615384615384614
"Chips, Clones, and Living Beyond 100: How Far Will the Biosciences Take Us?",23,3.608695652173913
The Spiritual Brain: A Neuroscientist's Case for the Existence of the Soul,43,3.604651162790698
"First Aid for the Match, Fifth Edition (First Aid Series)",10,3.6
ADHD Does Not Exist: The Truth About Attention Deficit and Hyperactivity Disorder,28,3.5714285714285716
Justinian's Flea: The First Great Plague and the End of the Roman Empire,72,3.5694444444444446
"First Aid for the Pediatrics Clerkship, Third Edition (First Aid Series)",9,3.5555555555555554
"Sex, Lies, and Menopause: The Shocking Truth About Synthetic Hormones and the Benefits of Natural Alternatives",39,3.5384615384615383
"The CR Way: Using the Secrets of Calorie Restriction for a Longer, Healthier Life",23,3.5217391304347827
Research Methods: A Process of Inquiry (6th Edition),8,3.5
The Second Brain : The Scientific Basis of Gut Instinct and a Groundbreaking New Understanding of Nervous Disorders of the Stomach and Intestines,4,3.5
"Lange Microbiology and Infectious Diseases Flash Cards, Second Edition (LANGE FlashCards)",4,3.5
Applied Sport Psychology: Personal Growth to Peak Performance,4,3.5
CURRENT Practice Guidelines in Primary Care 2013,4,3.5
Cognitive Psychology (8th Edition),4,3.5
Critical Care Paramedic,2,3.5
Perspectives on Personality (5th Edition),2,3.5
Tinderbox: How the West Sparked the AIDS Epidemic and How the World Can Finally Overcome It,23,3.4782608695652173
The Bone Lady: Life as a Forensic Anthropologist,21,3.4761904761904763
Your Brain on Food: How Chemicals Control Your Thoughts and Feelings,15,3.466666666666667
"Before &amp; After, Revised Edition",25,3.44
Fundamental Neuroscience,3,3.3333333333333335
The Character of Consciousness (Philosophy of Mind),3,3.3333333333333335
Mind Race: A Firsthand Account of One Teenager's Experience with Bipolar Disorder (Adolescent Mental Health Initiative),4,3.25
The E-Myth Physician: Why Most Medical Practices Don't Work and What to Do About It,10,3.0
"First Aid for the USMLE Step 3, Fourth Edition",5,3.0
Medical Spanish: A Conversational Approach (with Audio CD) (World Languages),2,3.0
In Search of Understanding: The Case for Constructivist Classrooms,2,3.0
Emergency Doctor,1,3.0
"The Common Symptom Guide, Sixth Edition",1,3.0
"It's Your Hormones: The Women's Complete Guide to Soothing PMS, Clearing Acne, Regrowing Hair, Healing PCOS, Feeling Good on the Pill, Enjoying a Safe ... Recharging Your Sex Drive . . . and More!",6,2.8333333333333335
General Chemistry: Principles and Modern Applications (8th Edition),9,2.5555555555555554
Clinical Laboratory Chemistry,2,2.5
In the Wake of the Plague: The Black Death and the World It Made,144,2.4097222222222223
Chemistry Demystified (TAB Demystified),6,2.3333333333333335
Fast &amp; Easy ECGs with DVD,3,2.3333333333333335
Physical Chemistry: Principles and Applications in Biological Sciences (4th Edition),4,2.0
Schaum's Outline of Physical Chemistry (2nd Edition),2,2.0
3000 Solved Problems in Organic Chemistry (Schaum's Solved Problems) (Schaum's Solved Problems Series),1,2.0
McGraw-Hill Medical Dictionary for Allied Health,1,2.0
